Año,Trimestre,Provincia,Mbps (Media de bajada)
2020,3,Santa Cruz,6650.0
2020,3,Santa Fe,2569.0
2020,3,Santiago Del Estero,1088.0
2020,3,Tierra Del Fuego,8510.0
2020,3,Tucumán,3484.0
2020,2,Buenos Aires,4566.0
2020,2,Capital Federal,6048.0
2020,2,Catamarca,3493.0
2020,2,Chaco,2795.0
2020,2,Chubut,7610.0
2020,2,Córdoba,3099.0
2020,2,Corrientes,2215.0
2020,2,Entre Ríos,2045.0
2020,2,Formosa,1687.0
2020,2,Jujuy,1586.0
2020,2,La Pampa,8030.0
2020,2,La Rioja,1167.0
2020,2,Mendoza,9270.0
2020,2,Misiones,2256.0
2020,2,Neuquén,291.0
2020,2,Río Negro,1968.0
2020,2,Salta,2256.0
2020,2,San Juan,6310.0
2020,2,San Luis,2102.0
2020,2,Santa Cruz,6590.0
2020,2,Santa Fe,2393.0
2020,2,Santiago Del Estero,1041.0
2020,2,Tierra Del Fuego,8130.0
2020,2,Tucumán,327.0
2020,1,Buenos Aires,4518.0
2020,1,Capital Federal,5871.0
2020,1,Catamarca,2913.0
2020,1,Chaco,2594.0
2020,1,Chubut,7120.0
2020,1,Córdoba,2939.0
2020,1,Corrientes,2054.0
2020,1,Entre Ríos,1903.0
2020,1,Formosa,157.0
2020,1,Jujuy,1414.0
2020,1,La Pampa,7290.0
2020,1,La Rioja,7960.0
2020,1,Mendoza,8440.0
2020,1,Misiones,2215.0
2020,1,Neuquén,2777.0
2020,1,Río Negro,1906.0
2020,1,Salta,2143.0
2020,1,San Juan,6040.0
2020,1,San Luis,2099.0
2020,1,Santa Cruz,6420.0
2020,1,Santa Fe,2242.0
2020,1,Santiago Del Estero,10.0
2020,1,Tierra Del Fuego,7410.0
2020,1,Tucumán,3225.0
2019,4,Buenos Aires,3077.0
2019,4,Capital Federal,442.0
2019,4,Catamarca,2488.0
2019,4,Chaco,2337.0
2019,4,Chubut,6990.0
2019,4,Córdoba,2616.0
2019,4,Corrientes,1926.0
2019,4,Entre Ríos,1701.0
2019,4,Formosa,1453.0
2019,4,Jujuy,1296.0
2019,4,La Pampa,6530.0
2019,4,La Rioja,8000.0
2019,4,Mendoza,7790.0
2019,4,Misiones,2032.0
2019,4,Neuquén,2602.0
2019,4,Río Negro,1718.0
2019,4,Salta,1908.0
2019,4,San Juan,6040.0
2019,4,San Luis,2069.0
2019,4,Santa Cruz,5210.0
2019,4,Santa Fe,2055.0
2019,4,Santiago Del Estero,9790.0
2019,4,Tierra Del Fuego,7270.0
2019,4,Tucumán,2987.0
2019,3,Buenos Aires,2568.0
2019,3,Capital Federal,3871.0
2019,3,Catamarca,9290.0
2019,3,Chaco,1999.0
2019,3,Chubut,6970.0
2019,3,Córdoba,2319.0
2019,3,Corrientes,167.0
2019,3,Entre Ríos,147.0
2019,3,Formosa,1322.0
2019,3,Jujuy,1197.0
2019,3,La Pampa,5720.0
2019,3,La Rioja,8000.0
2019,3,Mendoza,6110.0
2019,3,Misiones,1793.0
2019,3,Neuquén,2375.0
2019,3,Río Negro,1598.0
2019,3,Salta,1475.0
2019,3,San Juan,6040.0
2019,3,San Luis,1974.0
2019,3,Santa Cruz,5020.0
2019,3,Santa Fe,1817.0
2019,3,Santiago Del Estero,9390.0
2019,3,Tierra Del Fuego,6690.0
2019,3,Tucumán,1932.0
2019,2,Buenos Aires,2248.0
2019,2,Capital Federal,3035.0
2019,2,Catamarca,8810.0
2019,2,Chaco,1601.0
2019,2,Chubut,6050.0
2019,2,Córdoba,1843.0
2019,2,Corrientes,1383.0
2019,2,Entre Ríos,1219.0
2019,2,Formosa,1084.0
2019,2,Jujuy,1207.0
2019,2,La Pampa,5490.0
2019,2,La Rioja,7890.0
2019,2,Mendoza,6030.0
2019,2,Misiones,145.0
2019,2,Neuquén,1724.0
2019,2,Río Negro,1163.0
2019,2,Salta,1255.0
2019,2,San Juan,6120.0
2019,2,San Luis,1988.0
2019,2,Santa Cruz,6010.0
2019,2,Santa Fe,1507.0
2019,2,Santiago Del Estero,7100.0
2019,2,Tierra Del Fuego,6340.0
2019,2,Tucumán,1853.0
2019,1,Buenos Aires,1964.0
2019,1,Capital Federal,2472.0
2019,1,Catamarca,7960.0
2019,1,Chaco,1344.0
2019,1,Chubut,5890.0
2019,1,Córdoba,1573.0
2019,1,Corrientes,1205.0
2019,1,Entre Ríos,1066.0
2019,1,Formosa,9830.0
2019,1,Jujuy,8560.0
2019,1,La Pampa,5060.0
2019,1,La Rioja,7090.0
2019,1,Mendoza,5740.0
2019,1,Misiones,1251.0
2019,1,Neuquén,1588.0
2019,1,Río Negro,1049.0
2019,1,Salta,1038.0
2019,1,San Juan,5840.0
2019,1,San Luis,8710.0
2019,1,Santa Cruz,5780.0
2019,1,Santa Fe,1299.0
2019,1,Santiago Del Estero,6420.0
2019,1,Tierra Del Fuego,6340.0
2019,1,Tucumán,1657.0
2018,4,Buenos Aires,1693.0
2018,4,Capital Federal,2294.0
2018,4,Catamarca,8040.0
2018,4,Chaco,1349.0
2018,4,Chubut,6090.0
2018,4,Córdoba,1581.0
2018,4,Corrientes,1214.0
2018,4,Entre Ríos,1102.0
