Año,Trimestre,Provincia,Otros,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 20 Mbps y 30 Mbps,Entre 30 Mbps y 50 Mbps,Entre 50 Mbps y 100 Mbps,Entre 100 Mbps y 200 Mbps,Entre 200 Mbps y 500 Mbps,Más de 500 Mbps
2022.0,1.0,Mendoza,3287.0,114.0,3355.0,4708.0,46522.0,59598.0,41469.0,13982.0,13.0,1550.0,2.0
2022.0,1.0,Misiones,8349.0,51.0,3873.0,11079.0,24576.0,15873.0,27271.0,24521.0,3852.0,2947.0,0.0
2022.0,1.0,Neuquén,7885.0,137.0,1123.0,1643.0,38213.0,13952.0,33497.0,22046.0,52.0,4345.0,0.0
2022.0,1.0,Río Negro,22652.0,116.0,1383.0,2951.0,32614.0,16437.0,20127.0,13310.0,148.0,1701.0,150.0
2022.0,1.0,Salta,6489.0,114.0,1725.0,1400.0,34176.0,2229.0,48006.0,25214.0,0.0,3603.0,0.0
2022.0,1.0,San Juan,2465.0,26.0,2269.0,1484.0,30872.0,11818.0,1774.0,399.0,0.0,13.0,0.0
2022.0,1.0,San Luis,28589.0,61.0,643.0,664.0,7623.0,68617.0,7.0,1.0,0.0,0.0,0.0
2022.0,1.0,Santa Cruz,485.0,51.0,6898.0,2339.0,10371.0,2639.0,2326.0,214.0,0.0,0.0,0.0
2022.0,1.0,Santa Fe,18444.0,468.0,12435.0,9857.0,133939.0,58169.0,200618.0,127889.0,968.0,14543.0,1.0
2022.0,1.0,Santiago Del Estero,792.0,178.0,1401.0,3615.0,26605.0,849.0,3589.0,4372.0,0.0,348.0,0.0
2022.0,1.0,Tierra Del Fuego,2421.0,24.0,894.0,1.0,12848.0,1797.0,845.0,77.0,29.0,0.0,1.0
2022.0,1.0,Tucumán,273.0,39.0,2212.0,112.0,35916.0,5211.0,76586.0,52958.0,4.0,4296.0,2.0
2021.0,4.0,Buenos Aires,22958.0,37821.0,33049.0,25327.0,305600.0,849256.0,1013305.0,1354918.0,92865.0,133656.0,11814.0
2021.0,4.0,Capital Federal,0.0,563.0,5919.0,323.0,42586.0,114933.0,433730.0,528313.0,40097.0,89221.0,8400.0
2021.0,4.0,Catamarca,2233.0,71.0,457.0,145.0,5436.0,3262.0,17813.0,11025.0,42.0,947.0,0.0
2021.0,4.0,Chaco,7585.0,461.0,1194.0,1007.0,16756.0,13703.0,35403.0,20157.0,0.0,2864.0,0.0
2021.0,4.0,Chubut,15763.0,126.0,1954.0,6667.0,56371.0,6302.0,2226.0,155.0,1.0,0.0,0.0
2021.0,4.0,Córdoba,12607.0,100.0,13747.0,10568.0,162725.0,41333.0,343947.0,172906.0,552.0,21136.0,24.0
2021.0,4.0,Corrientes,7082.0,67.0,4094.0,3029.0,22352.0,10101.0,19860.0,17519.0,0.0,2518.0,0.0
2021.0,4.0,Entre Ríos,16583.0,107.0,5865.0,5753.0,47449.0,24086.0,45133.0,28756.0,1.0,3382.0,0.0
2021.0,4.0,Formosa,1967.0,84.0,491.0,1131.0,21286.0,1139.0,7145.0,5897.0,0.0,729.0,0.0
2021.0,4.0,Jujuy,2324.0,58.0,1706.0,3270.0,17645.0,564.0,26509.0,6279.0,1.0,432.0,200.0
2021.0,4.0,La Pampa,3027.0,301.0,2229.0,3507.0,59597.0,4827.0,10959.0,1182.0,26.0,11.0,0.0
2021.0,4.0,La Rioja,0.0,18.0,638.0,302.0,4079.0,5673.0,34138.0,8849.0,137.0,298.0,0.0
2021.0,4.0,Mendoza,366.0,156.0,4385.0,4805.0,58701.0,51225.0,31824.0,9338.0,14.0,1248.0,3.0
2021.0,4.0,Misiones,8335.0,51.0,4154.0,12191.0,25576.0,15973.0,26831.0,21640.0,3849.0,2256.0,1.0
2021.0,4.0,Neuquén,7767.0,140.0,1190.0,2555.0,39508.0,14361.0,35508.0,19282.0,45.0,3331.0,0.0
2021.0,4.0,Río Negro,22645.0,156.0,1488.0,3008.0,35051.0,5784.0,21892.0,11371.0,105.0,1120.0,0.0
2021.0,4.0,Salta,6475.0,114.0,1730.0,1401.0,37562.0,3550.0,47350.0,22340.0,0.0,2917.0,0.0
2021.0,4.0,San Juan,4435.0,44.0,2428.0,1588.0,26332.0,9933.0,158.0,107.0,0.0,0.0,0.0
2021.0,4.0,San Luis,29218.0,62.0,686.0,664.0,7464.0,67368.0,4.0,0.0,0.0,0.0,0.0
2021.0,4.0,Santa Cruz,491.0,52.0,6920.0,2657.0,11025.0,1784.0,746.0,116.0,0.0,0.0,0.0
2021.0,4.0,Santa Fe,18777.0,467.0,13210.0,11322.0,145755.0,62500.0,197171.0,112906.0,859.0,10927.0,1.0
2021.0,4.0,Santiago Del Estero,793.0,178.0,1414.0,3615.0,27795.0,800.0,3427.0,3790.0,0.0,320.0,0.0
2021.0,4.0,Tierra Del Fuego,2580.0,26.0,385.0,1.0,13504.0,1785.0,875.0,80.0,24.0,0.0,1.0
2021.0,4.0,Tucumán,240.0,39.0,2220.0,128.0,35070.0,5326.0,75535.0,46538.0,1.0,3783.0,0.0
2021.0,3.0,Buenos Aires,9728.0,37193.0,54771.0,23114.0,1062204.0,193861.0,993144.0,1280110.0,72716.0,123665.0,11567.0
2021.0,3.0,Capital Federal,0.0,295.0,4941.0,345.0,152295.0,74780.0,451499.0,499083.0,33528.0,82572.0,7269.0
2021.0,3.0,Catamarca,2206.0,71.0,468.0,293.0,5994.0,1659.0,16078.0,9770.0,42.0,726.0,2.0
2021.0,3.0,Chaco,7958.0,301.0,1266.0,1007.0,20384.0,14423.0,31733.0,15557.0,0.0,2386.0,18.0
2021.0,3.0,Chubut,14907.0,104.0,906.0,4917.0,83450.0,5320.0,1491.0,151.0,1.0,0.0,0.0
2021.0,3.0,Córdoba,9256.0,99.0,15256.0,13169.0,179030.0,47331.0,316122.0,142895.0,79.0,17193.0,37.0
2021.0,3.0,Corrientes,5053.0,67.0,4189.0,2949.0,23136.0,9701.0,19653.0,13630.0,0.0,2170.0,1.0
2021.0,3.0,Entre Ríos,12755.0,107.0,5953.0,5710.0,52715.0,16302.0,41663.0,23449.0,1.0,2821.0,9.0
2021.0,3.0,Formosa,1617.0,381.0,540.0,1190.0,21048.0,1196.0,6995.0,5109.0,0.0,599.0,0.0
2021.0,3.0,Jujuy,2401.0,48.0,1699.0,3288.0,19072.0,561.0,24127.0,5289.0,1.0,292.0,208.0
2021.0,3.0,La Pampa,4152.0,298.0,2282.0,4113.0,58981.0,4023.0,9570.0,928.0,0.0,8.0,0.0
2021.0,3.0,La Rioja,0.0,18.0,672.0,303.0,4392.0,4870.0,34157.0,8069.0,138.0,247.0,0.0
2021.0,3.0,Mendoza,50.0,36.0,1708.0,4156.0,146038.0,7609.0,15799.0,4703.0,15.0,533.0,24.0
2021.0,3.0,Misiones,8279.0,51.0,4371.0,12204.0,25362.0,14811.0,26286.0,14128.0,1.0,1853.0,4.0
2021.0,3.0,Neuquén,5579.0,112.0,624.0,2581.0,54563.0,3669.0,36526.0,18257.0,11.0,3087.0,0.0
2021.0,3.0,Río Negro,20009.0,125.0,1189.0,3465.0,64894.0,2295.0,22660.0,10375.0,2.0,961.0,0.0
2021.0,3.0,Salta,6327.0,101.0,1791.0,1726.0,37934.0,3893.0,46903.0,17787.0,0.0,2305.0,0.0
2021.0,3.0,San Juan,4641.0,18.0,1333.0,1626.0,57247.0,340.0,159.0,107.0,10.0,0.0,0.0
2021.0,3.0,San Luis,29392.0,60.0,439.0,667.0,10446.0,67944.0,3.0,1.0,1.0,0.0,15.0
2021.0,3.0,Santa Cruz,735.0,50.0,6656.0,2661.0,21244.0,1788.0,548.0,116.0,0.0,14.0,0.0
2021.0,3.0,Santa Fe,16267.0,467.0,14354.0,11579.0,167853.0,55231.0,186899.0,94471.0,790.0,8443.0,39.0
2021.0,3.0,Santiago Del Estero,898.0,123.0,1463.0,3617.0,28581.0,801.0,3255.0,3366.0,0.0,240.0,2.0
2021.0,3.0,Tierra Del Fuego,895.0,17.0,83.0,5.0,23635.0,1433.0,882.0,75.0,18.0,0.0,1.0
